rep,arm,mission,scenario,zones_installed,obstacles_installed,outcome,reason,zone_pass,total_ms,frontend_ms,max_solve_ms,eikonal_ms,grid,ceiling_u,geo_z_max_u,pieces,flight_s,min_agl_u,env_viol_pct,env_peak_pct,env_peak_limit,hard_zone_contacts,retry_fallback,seam_worst,zones_in_search,leaked_procs,log
2,on,r5_extended_corridor,r5_corridor_wall,8,8,CLEAN,,2,7333.0,2856.0,4469.0,2792.7,350x1960x111,29.9,6.26,329,1143.0,0.284,0.0,96.8,maximum thrust,,0,9.095e-13,8,0,path_manager_20260811_083827.log
2,off,r5_transition_success_probe,r5_corridor_wall,8,8,REJECTED,no candidate survived propagation gates (see audit counters),2,,,,2816.9,350x1960x111,29.9,6.26,,,,,,,,0,,8,0,path_manager_20260811_083853.log
2,on,r5_transition_success_probe,r5_corridor_wall,8,8,REJECTED,no candidate survived propagation gates (see audit counters),2,,,,2804.5,350x1960x111,29.9,6.26,,,,,,,,0,,8,0,path_manager_20260811_083915.log
2,off,r5_transition_reject_probe,r5_corridor_wall,8,8,REJECTED,commanded start acceleration is not flyable by the model (inverse commands do not reproduce it inside the envelope),2,,,,2791.8,350x1960x111,29.9,6.26,,,,,,,,0,,8,0,path_manager_20260811_083937.log
2,on,r5_transition_reject_probe,r5_corridor_wall,8,8,REJECTED,commanded start acceleration is not flyable by the model (inverse commands do not reproduce it inside the envelope),2,,,,2807.7,350x1960x111,29.9,6.26,,,,,,,,0,,8,0,path_manager_20260811_083958.log
2,off,r6_zone_slalom,r6_slalom_gates,8,8,CLEAN,,2,5906.0,3107.0,2906.0,3056.3,621x1176x128,35.47,6.6,111,538.2,0.079,0.1,101.4,load factor,,3,1.017e-12,8,0,path_manager_20260811_084020.log
2,on,r6_zone_slalom,r6_slalom_gates,8,8,CLEAN,,2,4896.0,2925.0,2025.0,2878.3,621x1176x128,35.47,6.6,111,538.2,0.079,0.1,101.4,load factor,,3,1.017e-12,8,0,path_manager_20260811_084043.log
2,off,r7_encircled_goal,r7_goal_ring,8,8,REJECTED,N=2 shared handoff admits no arrival retry; single-shot fallback failed too,1,,,,271.3,917x356x97,27.95,5.56,,,,,0.0,,,1,,8,0,path_manager_20260811_084106.log
2,on,r7_encircled_goal,r7_goal_ring,8,8,REJECTED,N=2 shared handoff admits no arrival retry; single-shot fallback failed too,1,,,,261.5,917x356x97,27.95,5.56,,,,,0.0,,,1,,8,0,path_manager_20260811_084124.log
3,off,r1_coastal_terrain_following,r1_dynamic_surface_obstacles,2,5,CLEAN,,1,1044.0,1005.0,35.0,984.9,1969x489x120,32.05,6.19,98,828.5,0.631,0.0,98.2,maximum thrust,,0,4.547e-13,2,0,path_manager_20260811_084143.log
3,on,r1_coastal_terrain_following,r1_dynamic_surface_obstacles,2,5,CLEAN,,1,1056.0,1023.0,29.0,1002.0,1969x489x120,32.05,6.2,102,827.9,0.76,0.0,92.6,maximum thrust,,0,4.547e-13,2,0,path_manager_20260811_084202.log
3,off,r2_high_altitude_probe,,0,0,CLEAN,,,537.0,333.0,202.0,317.8,537x950x98,32.25,10.14,98,482.7,0.579,0.0,94.3,maximum thrust,,0,9.095e-13,0,0,path_manager_20260811_084222.log
3,on,r2_high_altitude_probe,,0,0,CLEAN,,,531.0,327.0,202.0,311.9,537x950x98,32.25,10.14,98,482.7,0.579,0.0,94.3,maximum thrust,,0,9.095e-13,0,0,path_manager_20260811_084234.log
3,off,r2_ridge_crossing,r2_ridge_gauntlet,6,6,CLEAN,,1,,,,1129.0,726x1139x124,34.28,10.28,,,0.29,0.0,99.2,bank angle,,2,,6,0,path_manager_20260811_084246.log
3,on,r2_ridge_crossing,r2_ridge_gauntlet,6,6,CLEAN,,1,,,,1133.8,726x1139x124,34.28,10.28,,,0.29,0.0,99.2,bank angle,,2,,6,0,path_manager_20260811_084333.log
3,off,r3_mountain_terrain_following,r3_dense_corridor,9,10,CLEAN,,1,6017.0,651.0,5364.0,618.6,356x718x134,36.89,8.0,159,326.8,0.29,0.4,101.9,bank angle,,1,9.095e-13,9,0,path_manager_20260811_084419.log
3,on,r3_mountain_terrain_following,r3_dense_corridor,9,10,CLEAN,,1,5876.0,647.0,5226.0,614.4,356x718x134,36.89,8.0,159,326.9,0.285,0.4,101.9,bank angle,,1,9.095e-13,9,0,path_manager_20260811_084442.log
3,off,r3_mountain_terrain_following,r3_dense_overlap,7,7,REJECTED,segment 3/3 failed (merge retries exhausted); single-shot fallback failed too,1,,,,676.2,467x763x125,34.29,7.1,,,,,5492.0,,,3,,7,0,path_manager_20260811_084506.log
3,on,r3_mountain_terrain_following,r3_dense_overlap,7,7,REJECTED,segment 3/3 failed (merge retries exhausted); single-shot fallback failed too,1,,,,680.3,467x763x125,34.29,7.1,,,,,5492.0,,,3,,7,0,path_manager_20260811_084525.log
3,off,r3_mountain_terrain_following,r3_goal_in_zone,1,1,CLEAN,,1,10196.0,330.0,9864.0,313.0,279x763x125,34.29,7.75,141,322.3,0.083,0.8,104.6,bank angle,,0,1.017e-12,1,0,path_manager_20260811_084545.log
3,on,r3_mountain_terrain_following,r3_goal_in_zone,1,1,CLEAN,,1,3916.0,316.0,3597.0,301.1,279x763x125,34.29,7.5,134,322.4,0.079,0.8,104.7,bank angle,,0,4.547e-13,1,0,path_manager_20260811_084612.log
3,off,r3_mountain_terrain_following,r3_mixed_terrain_zones,5,7,CLEAN,,2,10070.0,1484.0,8583.0,1455.9,317x740x126,34.67,6.62,162,320.3,0.179,1.6,102.6,bank angle,,1,6.431e-13,5,0,path_manager_20260811_084633.log
3,on,r3_mountain_terrain_following,r3_mixed_terrain_zones,5,7,CLEAN,,2,10196.0,1507.0,8171.0,1478.4,317x740x126,34.67,6.62,162,320.6,0.179,1.6,102.6,bank angle,,3,4.441e-16,5,0,path_manager_20260811_084701.log
3,off,r3_mountain_terrain_following,r3_multiple_zones,3,4,CLEAN,,1,886.0,470.0,414.0,452.7,423x696x132,36.34,8.61,101,237.7,0.347,0.0,96.7,maximum thrust,,1,1.017e-12,3,0,path_manager_20260811_084728.log
3,on,r3_mountain_terrain_following,r3_multiple_zones,3,4,CLEAN,,1,933.0,481.0,451.0,466.2,423x696x132,36.34,8.61,101,237.7,0.347,0.0,96.7,maximum thrust,,1,1.017e-12,3,0,path_manager_20260811_084747.log
3,off,r3_mountain_terrain_following,r3_nested_zones,4,4,CLEAN,,1,1309.0,814.0,493.0,783.5,463x940x111,30.14,7.68,95,289.3,0.352,0.0,97.8,lift coefficient,,1,4.547e-13,4,0,path_manager_20260811_084805.log
3,on,r3_mountain_terrain_following,r3_nested_zones,4,4,CLEAN,,1,1831.0,811.0,1018.0,780.5,463x940x111,30.14,7.68,95,288.2,0.343,0.0,99.7,bank angle,,1,1.017e-12,4,0,path_manager_20260811_084826.log
3,off,r3_mountain_terrain_following,r3_single_large_zone,1,1,REJECTED,segment 3/3 failed (merge retries exhausted); single-shot fallback failed too,1,,,,485.5,508x896x117,32.03,3.79,,,,,0.0,,,3,,1,0,path_manager_20260811_084845.log
