Time,BR710_N1[0],BR710_N2[0],Direct Thrust (engine 0 in lbs),BR710_N1[1],BR710_N2[1],Direct Thrust (engine 1 in lbs),Fuel Tank 0,Fuel Tank 1,Fuel Tank 2,/fdm/jsbsim/aero/alphadot-deg_sec,/fdm/jsbsim/aero/betadot-deg_sec,/fdm/jsbsim/velocities/ve-kts,/fdm/jsbsim/velocities/vc-kts,/fdm/jsbsim/velocities/mach,/fdm/jsbsim/aero/beta-deg,/fdm/jsbsim/aero/alpha-deg,/fdm/jsbsim/velocities/vtrue-kts,/fdm/jsbsim/gear/gear-cmd-norm,/fdm/jsbsim/position/h-agl-ft
0,0,0,7.84044,0,0,7.84044,8097.63,8097.63,8097.63,2.504939498956539,0.00783642960052851126,343.250546129999861,345.371696059536873,0.568032028039171966,-4.67264526550560381e-15,2.61236700135769039e-15,369.330453563714684,1,4921.23390930949972
0.002,0.00020005,0.00020005,0,0.00020005,0.00020005,0,8097.63,8097.63,8097.63,2.5051628876468004,0.00783504726459703475,343.221331348160447,345.342283721996353,0.567990695255207401,1.56698986346423072e-05,0.00500865917808845148,369.302711634710022,1,4921.89450176550508
0.004,0.0004003,0.0004003,0,0.0004003,0.0004003,0,8097.63,8097.63,8097.63,2.50520026152724906,0.00783097969326310497,343.192119662443304,345.312874397887867,0.567949364983285854,3.13307668583039423e-05,0.0100159756200842599,369.274971653423336,1,4922.5549494578454
0.006,0.000600751,0.000600751,0,0.000600751,0.000600751,0,8097.63,8097.63,8097.63,2.50517967728478963,0.00782674462774423166,343.16291267931291,345.283469723553708,0.56790803991599359,4.69832506545130762e-05,0.0150232802280131778,369.247235366343205,1,4923.21525554993332
0.008,0.000801401,0.000801401,0,0.000801401,0.000801401,0,8097.63,8097.63,8097.63,2.50510145343092727,0.00782234323447027029,343.133710389461839,345.254069689694745,0.567866720040827611,6.26270168199621934e-05,0.0200304576379098168,369.219502764988988,1,4923.87542026280698
0.01,0.00100225,0.00100225,0,0.00100225,0.00100225,0,8097.63,8097.63,8097.63,2.50496590914481265,0.00781777669270408877,343.104512783653945,345.224674287078642,0.567825405345244061,7.8261734484630317e-05,0.0250373931234545606,369.191773840873111,1,4924.53544380774292
0.012,0.00120331,0.00120331,0,0.00120331,0.00120331,0,8097.63,8097.63,8097.63,2.5047733631365463,0.00781304617819522998,343.075319852509494,345.195283506341866,0.567784095816775691,9.38870751241271246e-05,0.0300439725955796988,369.16404858551914,1,4925.19532639926729
0.014,0.00140456,0.00140456,0,0.00140456,0.00140456,0,8097.63,8097.63,8097.63,2.50452413364308368,0.00780815286321610413,343.046131586854074,345.165897338310231,0.567742791442898409,0.000109502712545863455,0.0350500826014586778,369.136326990462294,1,4925.85506824542153
0.016,0.00160601,0.00160601,0,0.00160601,0.00160601,0,8097.63,8097.63,8097.63,2.50421853842410647,0.00780309791656479557,343.016947977427662,345.136515773730935,0.56770149221114341,0.000125108322946663005,0.0400556103236229602,369.108609047249843,1,4926.51466957697994
0.018,0.00180767,0.00180767,0,0.00180767,0.00180767,0,8097.63,8097.63,8097.63,2.50385689475793694,0.00779788250353432438,342.987769014925107,345.107138803313376,0.567660198109082748,0.000140703584825029087,0.0450604435789501434,369.08089474744105,1,4927.17413058897091
0.02,0.00200953,0.00200953,0,0.00200953,0.00200953,0,8097.63,8097.63,8097.63,2.50343951943752208,0.0077925077859598204,342.958594690188477,345.077766417901614,0.5676189091242555,0.000156288179038584609,0.0500644708177328049,369.05318408260797,1,4927.83345151544017
0.022,0.00221159,0.00221159,0,0.00221159,0.00221159,0,8097.63,8097.63,8097.63,2.50296672876637505,0.00778697492219826252,342.929424994014425,345.048398608298896,0.567577625244242379,0.000171861788671546513,0.0550675811226681786,369.025477044335389,1,4928.49263254489597
0.024,0.00241385,0.00241385,0,0.00241385,0.00241385,0,8097.63,8097.63,8097.63,2.50243883855463478,0.0077812850671468833,342.900259917155665,345.019035365269588,0.567536346456667395,0.000187424099211453018,0.0600696642078866611,368.997773624221566,1,4929.15167391138311
0.026,0.00261632,0.00261632,0,0.00261632,0.00261632,0,8097.63,8097.63,8097.63,2.50185616411508871,0.00777543937221191177,342.871099450473196,344.989676679679292,0.567495072749136464,0.000202974798403548242,0.0650706104179928774,368.970073813877832,1,4929.81057582293124
0.028,0.00281898,0.00281898,0,0.00281898,0.00281898,0,8097.63,8097.63,8097.63,2.50121902025923948,0.00776943898535224168,342.841943584784303,344.960322542353993,0.567453804109299131,0.000218513576340379406,0.0700703107270276987,368.942377604929163,1,4930.4693384908087
0.03,0.00302185,0.00302185,0,0.00302185,0.00302185,0,8097.63,8097.63,8097.63,2.50052772129343914,0.00776328505104402489,342.812792310900988,344.930972944115354,0.567412540524834252,0.000234040125349019795,0.0750686567374480446,368.914684989015086,1,4931.12796213280581
0.032,0.00322492,0.00322492,0,0.00322492,0.00322492,0,8097.63,8097.63,8097.63,2.49978258101499051,0.0077569787103305074,342.783645619765082,344.901627875908105,0.56737128198339748,0.000249554140061800892,0.0800655406791532381,368.886995957789281,1,4931.78644695044295
0.034,0.0034282,0.0034282,0,0.0034282,0.0034282,0,8097.63,8097.63,8097.63,2.4989839127083493,0.00775052110076568553,342.754503502138732,344.872287328510822,0.567330028472741166,0.000265055317399415767,0.0850608554084403834,368.859310502919811,1,4932.44479317450168
0.036,0.00363168,0.00363168,0,0.00363168,0.00363168,0,8097.63,8097.63,8097.63,2.49813202914128851,0.00774391335646359546,342.725365948973717,344.842951292877842,0.567288779980573254,0.000280543356538304862,0.0900544944069823772,368.831628616089858,1,4933.10300100976838
0.038,0.00383536,0.00383536,0,0.00383536,0.00383536,0,8097.63,8097.63,8097.63,2.49722724256109663,0.00773715660808021143,342.696232951197089,344.813619759943776,0.567247536494639437,0.000296017958936548964,0.0950463517807744046,368.803950288997726,1,4933.76107066750774
0.04,0.00403925,0.00403925,0,0.00403925,0.00403925,0,8097.63,8097.63,8097.63,2.49626986469092849,0.00773025198280401053,342.667104499674224,344.784292720586791,0.567206298002739362,0.000311478828271847066,0.100036322259105789,368.776275513357064,1,4934.41900235574394
0.042,0.00424334,0.00424334,0,0.00424334,0.00424334,0,8097.63,8097.63,8097.63,2.49526020672595683,0.00772320060437814426,342.637980585401067,344.754970165804707,0.567165064492650917,0.000326925670505848643,0.105024301193505282,368.748604280897041,1,4935.07679630201164
0.044,0.00444763,0.00444763,0,0.00444763,0.00444763,0,8097.63,8097.63,8097.63,2.49419857932979649,0.00771600359310045669,342.608861199274202,344.725652086509911,0.567123835952222266,0.000342358193844567965,0.110010184556641133,368.720936583363766,1,4935.73445270459433
0.046,0.00465213,0.00465213,0,0.00465213,0.00465213,0,8097.63,8097.63,8097.63,2.49308529263079448,0.00770866206580643476,342.579746332340619,344.696338473750245,0.567082612369273376,0.000357776108685223769,0.114993868941315136,368.693272412518581,1,4936.39197178125596
0.048,0.00485683,0.00485683,0,0.00485683,0.00485683,0,8097.63,8097.63,8097.63,2.49192065621836933,0.007701177135879856,342.550635975489513,344.66702931843156,0.567041393731716692,0.000373179127707077239,0.119975251559351251,368.665611760139939,1,4937.04935374002707
0.05,0.00506174,0.00506174,0,0.00506174,0.00506174,0,8097.63,8097.63,8097.63,2.49070497913948152,0.00769354991325522583,342.521530119781005,344.637724611618466,0.567000180027430578,0.000388566965795763641,0.124954230240530817,368.637954618022775,1,4937.70659880843868
0.052,0.00526686,0.00526686,0,0.00526686,0.00526686,0,8097.63,8097.63,8097.63,2.48943856989499457,0.00768578150441427254,342.492428756234517,344.608424344339369,0.566958971244342136,0.000403939340008680305,0.129930703431466926,368.610300977979477,1,4938.36370717500449
0.054,0.00547217,0.00547217,0,0.00547217,0.00547217,0,8097.63,8097.63,8097.63,2.48812173643613121,0.00767787301240677785,342.463331875885331,344.579128507639609,0.566917767370404557,0.00041929596966942649,0.134904570194557066,368.582650831839601,1,4939.02067907051332
0.056,0.0056777,0.0056777,0,0.0056777,0.0056777,0,8097.63,8097.63,8097.63,2.48675478616105572,0.00766982553680295703,342.434239469766339,344.549837092562314,0.566876568393604896,0.000434636576296097395,0.139875730206856508,368.555004171449866,1,4939.67751468996994
0.058,0.00588343,0.00588343,0,0.00588343,0.00588343,0,8097.63,8097.63,8097.63,2.48533802591121988,0.0076616401737464937,342.405151528987062,344.520550090224106,0.566835374301936201,0.000449960883522015757,0.144844083758945585,368.527360988675753,1,4940.3342142641759
